No,OWNER,ADDR,경도,위도
125,㈜위드뎀,동작구 흑석로6길 50-2,126.955266469476,37.5058032724668
126,준호가만드는즉석떡볶이,동작구 흑석로83-1(흑석동),126.958803122625,37.5072380818561
127,중앙공인중개사사무소,동작구 서달로 142,126.961259926536,37.5060358180798
128,중앙내과,동작구 서달로 166(흑석동),126.962881729267,37.5077659640734
129,진미순대,동작구 서달로12가길 5,126.962724410493,37.5066295410336
130,진흥축산마트,동작구 현충로14길 16 (흑석동),126.969001775197,37.5056280377478
131,천하장사,동작구 흑석로 106-7,126.96152012009,37.507812674269
132,청운상회,동작구 서달로 10길 54,126.962699120225,37.5046329236643
133,체화모바일,동작구 현충로14길 2 (흑석동),126.968523037292,37.5060269879761
134,초록마을 흑석점,동작구 흑석한강로 2,126.966515652716,37.5065971500185
135,춤아리,동작구 현충로 119,126.966328625643,37.5085330473227
136,충남공인중개사사무소,동작구 서달로14나길 7(흑석동),126.963771418092,37.5076561651501
137,충북순대,동작구 서달로14길 16 (흑석동),126.963822207165,37.5078715491845
138,태양화원,동작구 서달로 162,126.962432227124,37.507633222751
139,토프레소 중앙대점,동작구 서달로 157 (흑석동),126.961827646736,37.5076270446131
140,프랑세즈,동작구 현충로 96,126.964275008167,37.5079390420721
141,플레고,동작구 흑석한강로 27,126.964879899532,37.5030485048847
142,하나로마트 (주)농협유통 흑석점,동작구 서달로 150,126.962183463169,37.5066259075465
143,하브HAVE카페,동작구 현충로 100,126.964596099219,37.5077353494712
144,한강(정문) 롯데캐슬공인중개사사무소,동작구 서달로 132,126.961076824958,37.505242961856
145,한강생고기,동작구 현충로 144,126.969154322546,37.5058552340777
146,한결유통,동작구 서달로14나길 19,126.963421410463,37.5073548751135
147,한돈신,동작구 흑석로 120-1,126.961985627698,37.5088682090805
148,한마음슈퍼,동작구 서달로14나길 23 (흑석동),126.963255511676,37.507118687397
149,한양종합건재,동작구 서달로 15길 25,126.961813466028,37.5087165379712
150,한일종합공사,동작구 서달로14길 25,126.964421591225,37.5078135170692
151,할머니반찬가게,동작구 서달로14나길 21,126.96327541648,37.5072020630675
152,해가든공인중개사사무소,동작구 서달로 158,126.962190850431,37.5072726635629
153,해가든짐,동작구 서달로 150,126.962183463169,37.5066259075465
154,해람,동작구 현충로 153,126.970631005558,37.5060308652675
155,현대공인중계사사무소,동작구 흑석로 105 (흑석동),126.960934665209,37.5079992884505
156,현대도시락,동작구 서달로10길 31,126.962266744171,37.5053677241782
157,현대주차장,동작구 흑석로10길 10 (흑석동),126.960127600343,37.5071426502058
158,홍당무,동작구 흑석로 84 (흑석동),126.958735584816,37.5050350404979
159,화르르,동작구 흑석로 111(흑석동),126.961217061065,37.50855716359
160,흑석 독서실,동작구 서달로13길 17,126.961976463749,37.5085685569513
161,흑석24시동물병원,동작구 현충로 92,126.964015216873,37.5080764018139
162,흑석데이케어센터,동작구 흑석한강로 13,126.966571204808,37.5056464708156
163,흑석동명당김밥,동작구 현충로 94,126.964193721698,37.5080343972947
164,흑석삼성영어교습소,동작구 흑석한강로 2 (흑석동),126.966515652716,37.5065971500185
165,흑석이화음악학원,동작구 서달로 91,126.957993980911,37.5026621565527
166,흑석한강삼성부동산,동작구 서달로10길 10,126.961643467122,37.5062944529988
